,0.0,2.5,5.0,7.5,10.0,12.5,15.0,17.5,20.0,22.5,25.0,27.5,30.0,32.5,35.0,37.5,40.0,42.5,45.0,atm,close,dte
count,3822.0,3822.0,3822.0,3822.0,3822.0,3822.0,3822.0,3822.0,3822.0,3822.0,3822.0,3822.0,3822.0,3822.0,3822.0,3822.0,3822.0,3822.0,3822.0,3822.0,3822.0,3822.0
mean,0.999738356881214,0.9823507569906562,0.9661503808449636,0.9532169405135736,0.9420353223002963,0.9308996815211812,0.9050597644724484,0.8520136803409314,0.8117808874662729,0.7919735348200163,0.7821426996565809,0.7808622400127069,0.774214715403649,0.7457252437305929,0.7216104854822738,0.7151490077471665,0.709321662358368,0.7002413236527429,0.6967191241873134,0.17969335426478222,271.74852433281,45.65149136577708
std,0.016175386202066513,0.031612995002553934,0.03538888119051396,0.03941955805212271,0.04477417631537367,0.07212993424271424,0.159064251454189,0.2648030908544387,0.3219921239395381,0.3507106000992617,0.37190522675932197,0.3870406279787914,0.40456164311021664,0.43094446288896654,0.4521650687827721,0.46616799814621274,0.4786663035605073,0.4904870300481543,0.5000316758287077,0.08785144638584676,57.2658675701089,9.467527201767348
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.27,28.0
25%,1.0,0.96875,0.9495798319327732,0.9333333333333332,0.9191254693366708,0.9064748201438848,0.8951048951048952,0.8797554817735354,0.8666666666666667,0.8551358596320215,0.8431637519872814,0.8371291560102302,0.8263340643274854,0.7860070257611242,0.0,0.0,0.0,0.0,0.0,0.128,242.5075,38.0
50%,1.0,0.9827586206896551,0.966887417218543,0.9538461538461538,0.9424460431654675,0.933147113594041,0.9254058654097931,0.9194089629789999,0.9148936170212767,0.9119748427672956,0.9131884057971016,0.9178082191780823,0.9186716273942401,0.9142244022072348,0.909725927722532,0.9107142857142856,0.9109947643979057,0.9094788858939802,0.9107562038900067,0.156,261.545,45.0
75%,1.0,1.0,0.9841269841269841,0.9743589743589743,0.9655172413793103,0.9624765037593985,0.9609375,0.961038961038961,0.9661016949152543,0.9729362514688601,0.9832284869254965,0.9928057553956835,1.006389970788705,1.0086769115442278,1.013785194558684,1.0228359498775745,1.0289855072463767,1.032507127019322,1.0395669495033113,0.199,300.6,53.0
max,1.0,1.2601626016260163,1.328,1.4104046242774568,1.4499999999999997,1.317919075144509,1.2947976878612717,1.2772277227722773,1.3617021276595744,1.4680851063829787,1.553191489361702,1.6734693877551021,1.7448979591836735,1.7448979591836735,1.772277227722772,1.7524752475247523,1.8415841584158414,1.8415841584158414,1.9807692307692308,0.84,440.4,77.0
0.1,1.0,0.9537572254335261,0.9292035398230087,0.9090909090909092,0.891891891891892,0.8769079196665404,0.8600000000000001,0.8033379467556787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,230.558,32.0
